Country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S
Argentina,All,Import,Value (USD 1000),USD 1000,1130,,6867,,10045,,21360,,23907,,25900,,13907,,7668,,9464,,8077,F,10780,F,21562,,13438,,11998,,6159,,18763,,48355,,45062,,67924,,71519,,73607,,91281,,88585,,90385,,86208,,78441,,15280,,29923,,47636,,63546,,78795,,102513,,103005,,99885,,127136,,163792,,179218,,195582,,159523,,176131,,188283,,221527,,229133,
Armenia,All,Export,Value (USD 1000),USD 1000,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,324,,4,F,18,,254,F,495,,95,,158,,1707,,3171,,2935,,3180,,4559,,4683,,5403,,3539,,7695,,16197,,22493,,33612,,31472,,14962,,12551,,21734,,28125,
Armenia,All,Import,Value (USD 1000),USD 1000,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,555,F,1667,,482,,693,,1099,F,2284,,4120,,3035,,3609,,2074,,2757,,4368,,3836,,4289,,9170,,8142,,6128,,9073,,9507,,9189,,9469,,6920,,6312,,9330,,8413,
Armenia,All,Reexports,Value (USD 1000),USD 1000,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,21,,20,,0,.,1,,5,,87,,7,,15,,46,,0,.,0,.,64,,81,,0,-,0,-,0,-,0,-,0,-
Aruba,All,Export,Value (USD 1000),USD 1000,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,17,,135,F,281,,853,,123,,65,,84,,33,,35,F,15,F,20,F,0,.,0,.,599,F,0,.,873,,246,,358,,777,,435,,1017,,251,,70,,82,,23,,16,,17,,1,,3,,63,,69,,86,,382,,455,,149,
Aruba,All,Import,Value (USD 1000),USD 1000,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,3548,,4090,F,4175,,4467,,4574,,5426,,5629,,6644,,6243,F,8512,F,10655,F,16233,,17042,,17450,,18499,,14678,,9926,,9640,,10262,,11546,,12828,,12190,,13074,,14164,,14888,,15066,,15882,,16948,,19130,,19163,,21550,,23487,,24932,,26819,,26762,
Australia,All,Export,Value (USD 1000),USD 1000,102284,,155166,,169291,,222431,,277143,,268866,,317237,,325382,,352239,,285899,,328212,,418415,,569784,,473457,,539993,,579940,,620373,,656234,,802653,,863952,,834245,,907489,,755309,,899632,,1006114,,904212,,901954,,897654,,921956,,945528,,939899,,947855,,956165,,829684,,952236,,1008875,,1008236,,1008367,,1113559,,1078156,,1049644,,1112029,,1120939,
Australia,All,Import,Value (USD 1000),USD 1000,93913,,131899,,139403,,145385,,185039,,226840,,242554,,210501,,244313,,245263,,238140,,286346,,304853,,372673,,349870,,365810,,387034,,369564,,462382,,426015,,501012,,524759,,515866,,530405,,563482,,557234,,595545,,666656,,730745,,862087,,933322,,1108788,,1138876,,1090054,,1275267,,1506418,,1600464,,1667802,,1772824,,1470383,,1511061,,1665603,,1632407,
Australia,All,Reexports,Value (USD 1000),USD 1000,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,353,,0,.,4940,,1408,,2602,,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Austria,All,Export,Value (USD 1000),USD 1000,1206,,1066,,1262,,1860,,1482,,1365,,1909,,1852,,1389,,1198,,2169,,1945,,2141,,2580,,2903,,3011,,5096,,4451,,5465,,17330,,12133,,10293,,8017,,11157,,9368,,8651,,20479,,33472,,44245,,20233,,18624,,29571,,40337,,46056,,52584,,81963,,93579,,100354,,88663,,76443,,80600,,81597,,93310,
Austria,All,Import,Value (USD 1000),USD 1000,57458,,64636,,71068,,84995,,90752,,78381,,72840,,75398,,68617,,67300,,92894,,117705,,118424,,122139,,149861,,162902,,179612,,158913,,195343,,187810,,205253,,188547,,201246,,210272,,162213,,182542,,195774,,244759,,289218,,278919,,326590,,437731,,466496,,447649,,457480,,545492,,531582,,594639,,619461,,538695,,573626,,603151,,632973,
Azerbaijan,All,Export,Value (USD 1000),USD 1000,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,480,F,265,F,751,,1176,,856,,3850,,3711,,1366,,1422,,4169,,4755,,7276,,659,,5851,,5601,,5954,,1021,,226,,0,.,24,,0,.,23,,209,,454,,794,
Azerbaijan,All,Import,Value (USD 1000),USD 1000,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,900,F,352,F,558,,523,,932,,846,,1444,,1314,,1961,,2142,,2336,,4827,,2917,,5808,,11168,,16057,,11411,,12197,,12768,,15842,,13421,,11106,,22835,,28340,,29139,
