Country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S
Afghanistan,All,Import,Tonnes – net product weight,Tonnes – net product weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,9,,0,.,0,.,0,.,0,.,0,.,0,.,0,.,4373,
Albania,All,Export,Tonnes – net product weight,Tonnes – net product weight,0,.,0,.,0,.,0,.,0,.,0,.,291,,124,,200,,0,.,1184,,1443,,1992,,1981,,3970,,1864,,897,,1116,F,830,F,1029,F,2380,,1841,,2617,,2811,,1924,,2052,,2175,F,2644,,2900,,549,,597,,325,,468,,3645,,4344,,3907,,4719,,5861,,6691,,7727,,9229,,12163,,14517,
Albania,All,Import,Tonnes – net product weight,Tonnes – net product weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,400,,425,,240,,160,,140,,157,,101,,358,F,420,F,1187,F,1965,,1948,,3516,,5882,,4985,,5470,,6919,,7440,,7997,,7946,,8449,,8651,,9516,,10071,,9868,,10841,,9368,,10294,,11629,,14778,,15766,,20033,,22793,
Albania,All,Processed production,Tonnes – net product weight,Tonnes – net product weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,1184,,1443,,1992,,1981,,3693,,1864,,897,,1040,F,860,F,652,,897,,600,,1401,F,1269,F,1593,F,1409,F,1730,F,1134,F,2263,F,2408,F,3163,F,2653,F,2928,F,3084,F,2881,F,2682,F,6235,F,6875,,8703,,11377,,11867,,16930,,14875,
Albania,All,Reexports,Tonnes – net product weight,Tonnes – net product weight,0,,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,2338,,4021,,2759,,2883,,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Algeria,All,Export,Tonnes – net product weight,Tonnes – net product weight,1392,,1889,,354,,260,,246,,248,,16,,61,,78,,92,,81,,100,,93,,75,,164,,408,,877,,541,,620,,1045,,717,,716,,379,,860,,1317,,1498,,2415,,1755,,1537,,1982,,2079,,2181,,2781,,1881,,1408,,1265,,1407,,1319,,1710,,1700,,2024,,2858,,3377,F
Algeria,All,Import,Tonnes – net product weight,Tonnes – net product weight,5868,,11261,,10168,,10979,,13192,,16858,,20219,,28510,,45917,,34212,,31039,,37197,,44216,,15680,,6862,F,3367,,9137,,6461,,9952,,20356,,4576,,7461,,5717,,7953,,8118,,7944,,11306,,21818,,22996,,20505,,23204,,20978,,18189,,28296,,29923,,29171,,29399,,32370,,42886,,43952,,40765,,40747,,33295,F
Algeria,All,Processed production,Tonnes – net product weight,Tonnes – net product weight,4430,,4289,,2803,,2629,,2186,,2028,,3102,,2451,,2381,,2981,,4391,,6277,,6244,F,6323,F,6503,F,6899,,6545,F,6300,F,5896,F,5160,F,255,F,344,F,200,F,655,F,962,F,1005,F,1209,F,1257,F,1189,F,1713,F,1525,F,1515,,2132,,1442,,1154,,1074,F,1038,F,836,F,1223,F,1303,F,1376,F,1611,F,1807,F
Andorra,All,Export,Tonnes – net product weight,Tonnes – net product weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,0,7,,0,.,0,.,0,.,0,0,0,.,0,.,0,0,0,0,9,F,0,.,0,.,0,0,2,,0,.,2,,1,,0,0,0,0,5,F,1,F,3,F,2,F
Andorra,All,Import,Tonnes – net product weight,Tonnes – net product weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,2585,,2342,,2485,,2615,,2661,,2663,,2760,,2755,,2716,,2942,,2812,F,2677,,2731,,2476,,2471,,2448,,2469,,2311,,2340,,2397,,2547,F,2538,F,2428,,2442,
