,LUH_orginal,ProductionItem,FAOItemCode,MAGsho,kcr,LUH2MAg,LUH2kcr,Cropgroup
64,c3ann,89|Buckwheat,89,c3a,tece,c3ann.MAGc3a,c3ann.tece,Temperate cereals
65,c3ann,92|Quinoa,92,c3a,tece,c3ann.MAGc3a,c3ann.tece,Temperate cereals
66,c3ann,94|Fonio,94,c3a,tece,c3ann.MAGc3a,c3ann.tece,Temperate cereals
67,c3ann,97|Triticale,97,c3a,tece,c3ann.MAGc3a,c3ann.tece,Temperate cereals
68,c3ann,101|Canary seed,101,c3a,tece,c3ann.MAGc3a,c3ann.tece,Temperate cereals
69,c3ann,"103|Grain, mixed",103,c3a,tece,c3ann.MAGc3a,c3ann.tece,Temperate cereals
70,c3ann,"108|Cereals, nes",108,c3a,tece,c3ann.MAGc3a,c3ann.tece,Temperate cereals
71,c3per,"216|Brazil nuts, with shell",216,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
72,c3per,"217|Cashew nuts, with shell",217,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
73,c3per,220|Chestnut,220,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
74,c3per,"221|Almonds, with shell",221,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
75,c3per,"222|Walnuts, with shell",222,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
76,c3per,223|Pistachios,223,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
77,c3per,224|Kola nuts,224,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
78,c3per,"225|Hazelnuts, with shell",225,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
79,c3per,226|Areca nuts,226,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
80,c3per,"234|Nuts, nes",234,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
81,c3per,461|Carobs,461,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
82,c3per,486|Bananas,486,c3a,cassav_sp,c3per.MAGc3a,c3per.cassav_sp,Tropical roots
83,c3per,489|Plantains,489,c3a,cassav_sp,c3per.MAGc3a,c3per.cassav_sp,Tropical roots
84,c3per,490|Oranges,490,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
85,c3per,"495|Tangerines, mandarins, clementines, satsumas",495,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
86,c3per,497|Lemons and limes,497,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
87,c3per,507|Grapefruit (inc pomelos),507,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
88,c3per,"512|Fruit, citrus nes",512,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
89,c3per,515|Apples,515,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
